targetAudience;seriesDisplayName;queryStringValue;variationTargetAudience;
Keyword Volkswagen Golf;Prius c;Priusc&competitor=Volkswagen_Golf;compare=true;
Keyword Volkswagen Beetle;Prius c;Priusc&competitor=Volkswagen_Beetle;compare=true;
Keyword Volvo C30;Prius c;Priusc&competitor=Volvo_C30;compare=false;
Keyword Honda Fit EV;Prius c;Priusc&competitor=Honda_Fit_EV;compare=true;
Keyword Smart Fortwo;Prius c;Priusc&competitor=Smart_Fortwo;compare=true;
Keyword Nissan Leaf;Prius Plugin;PriusPlugin&competitor=Nissan_Leaf;compare=true;
Keyword Honda Accord Plugin Hybrid;Prius Plugin;PriusPlugin&competitor=Honda_Accord_Plugin_Hybrid;compare=false;
Keyword Ford C-Max Hybrid;prius v;priusv&competitor=Ford_C_Max_Hybrid;compare=true;
Keyword Mazda Speed 3;prius v;priusv&competitor=Mazda_Speed_3;compare=false;
Keyword Ford C-Max Energi;prius v;priusv&competitor=Ford_C_Max_Energi;compare=false;
Keyword Chevrolet Equinox;RAV4;RAV4&competitor=Chevrolet_Equinox;compare=true;
Keyword Dodge Nitro;RAV4;RAV4&competitor=Dodge_Nitro;compare=false;
Keyword Ford Escape;RAV4;RAV4&competitor=Ford_Escape;compare=true;
Keyword GMC Terrain;RAV4;RAV4&competitor=GMC_Terrain;compare=true;
Keyword Honda CR-V;RAV4;RAV4&competitor=Honda_CR_V;compare=true;
Keyword Honda Element;RAV4;RAV4&competitor=Honda_Element;compare=false;
Keyword Hyundai Tucson;RAV4;RAV4&competitor=Hyundai_Tucson;compare=Id_is_invalid;
Keyword Jeep Compass;RAV4;RAV4&competitor=Jeep_Compass;compare=true;
Keyword Jeep Liberty;RAV4;RAV4&competitor=Jeep_Liberty;compare=true;
Keyword Jeep Patriot;RAV4;RAV4&competitor=Jeep_Patriot;compare=true;
Keyword Jeep Wrangler;RAV4;RAV4&competitor=Jeep_Wrangler;compare=false;
Keyword Kia Sportage;RAV4;RAV4&competitor=Kia_Sportage;compare=false;
Keyword Mazda CX-5;RAV4;RAV4&competitor=Mazda_CX_5;compare=false;
Keyword Mazda Tribute;RAV4;RAV4&competitor=Mazda_Tribute;compare=false;
Keyword Mitsubishi Outlander;RAV4;RAV4&competitor=Mitsubishi_Outlander;compare=true;
Keyword Nissan Rogue;RAV4;RAV4&competitor=Nissan_Rogue;compare=false;
Keyword Nissan Juke;RAV4;RAV4&competitor=Nissan_Juke;compare=true;
Keyword Subaru XV CROSSTREK;RAV4;RAV4&competitor=Subaru_XV_CROSSTREK;compare=false;
Keyword Subaru Forester;RAV4;RAV4&competitor=Subaru_Forester;compare=true;
Keyword Volkswagen Tiguan;RAV4;RAV4&competitor=Volkswagen_Tiguan;compare=true;
Keyword Mitsubishi Outlander Sport;RAV4;RAV4&competitor=Mitsubishi_Outlander_Sport;compare=false;
NE ATC Chevrolet Equinox;RAV4;rav4&competitor=Chevrolet_Equinox;compare=true;
NE ATC Ford Escape;RAV4;rav4&competitor=Ford_Escape;compare=true;
NE ATC Honda CR-V;RAV4;rav4&competitor=Honda_CR_V;compare=true;
NE ATC Hyundai Tucson;RAV4;rav4&competitor=Hyundai_Tucson;compare=Id_is_invalid;
NE ATC Kia Sportage;RAV4;rav4&competitor=Kia_Sportage;compare=false;
NE ATC Nissan Juke;RAV4;rav4&competitor=Nissan_Juke;compare=true;
NE ATC Nissan Rogue;RAV4;rav4&competitor=Nissan_Rogue;compare=false;
NE ATC Subaru Forester;RAV4;rav4&competitor=Subaru_Forester;compare=true;
NE ATC Subaru XV Crosstrek;RAV4;rav4&competitor=Subaru_XV_Crosstrek;compare=false;
NE KBB Chevrolet Equinox;RAV4;rav4&competitor=Chevrolet_Equinox;compare=true;
NE KBB Chevrolet Trax;RAV4;rav4&competitor=Chevrolet_Trax;compare=false;
NE KBB Ford Escape;RAV4;rav4&competitor=Ford_Escape;compare=true;
NE KBB Honda CR-V;RAV4;rav4&competitor=Honda_CR_V;compare=true;
NE KBB Honda HR-V;RAV4;rav4&competitor=Honda_HR_V;compare=false;
NE KBB Hyundai Tucson;RAV4;rav4&competitor=Hyundai_Tucson;compare=Id_is_invalid;
NE KBB Kia Sportage;RAV4;rav4&competitor=Kia_Sportage;compare=false;
NE KBB Nissan Juke;RAV4;rav4&competitor=Nissan_Juke;compare=true;
NE KBB Nissan Rogue;RAV4;rav4&competitor=Nissan_Rogue;compare=false;
NE KBB Subaru Forester;RAV4;rav4&competitor=Subaru_Forester;compare=true;
NE KBB Subaru XV Crosstrek;RAV4;rav4&competitor=Subaru_XV_Crosstrek;compare=false;
NE Cars.com Chevy Equinox;RAV4;rav4&competitor=Chevrolet_Equinox;compare=true;
NE Cars.com Ford Escape;RAV4;rav4&competitor=Ford_Escape;compare=true;
NE Cars.com Honda CR-V;RAV4;rav4&competitor=Honda_CR_V;compare=true;
NE Cars.com Honda HR-V;RAV4;rav4&competitor=Honda_HR_V;compare=false;
NE Cars.com Hyundai Tucson;RAV4;rav4&competitor=Hyundai_Tucson;compare=Id_is_invalid;
NE Cars.com Kia Sportage;RAV4;rav4&competitor=Kia_Sportage;compare=false;
NE Cars.com Nissan Rogue;RAV4;rav4&competitor=Nissan_Rogue;compare=false;
NE Cars.com Subaru Forester;RAV4;rav4&competitor=Subaru_Forester;compare=true;
NE Edmunds Chevrolet Captiva Sport;RAV4;rav4&competitor=Chevrolet_Captiva_Sport;compare=Id_is_invalid;
NE Edmunds Chevrolet Equinox;RAV4;rav4&competitor=Chevrolet_Equinox;compare=true;
NE Edmunds Chevrolet Trax;RAV4;rav4&competitor=Chevrolet_Trax;compare=false;
NE Edmunds Ford Escape;RAV4;rav4&competitor=Ford_Escape;compare=true;
NE Edmunds Hyundai Santa Fe Sport;RAV4;rav4&competitor=Hyundai_Santa_Fe_Sport;compare=false;
NE Edmunds Hyundai Tucson;RAV4;rav4&competitor=Hyundai_Tucson;compare=Id_is_invalid;
NE Edmunds Hyundai Vera Cruz;RAV4;rav4&competitor=Hyundai_Vera_Cruz;compare=true;
NE Edmunds Kia Sportage;RAV4;rav4&competitor=Kia_Sportage;compare=false;
NE Edmunds Nissan Juke;RAV4;rav4&competitor=Nissan_Juke;compare=true;
NE Edmunds Nissan Murano Cross Cabriolet;RAV4;rav4&competitor=Nissan_Murano_Cross_Cabriolet;compare=false;
NE Edmunds Nissan Rogue;RAV4;rav4&competitor=Nissan_Rogue;compare=false;
NE Edmunds Nissan Rogue Select;RAV4;rav4&competitor=Nissan_Rogue_Select;compare=true;
NE Edmunds Subaru Forester;RAV4;rav4&competitor=Subaru_Forester;compare=true;
NE Edmunds Subaru XV Crosstrek;RAV4;rav4&competitor=Subaru_XV_Crosstrek;compare=false;
Keyword Cadillac Escalade ESV;Sequoia;Sequoia&competitor=Cadillac_Escalade_ESV;compare=true;
Keyword Cadillac EXT;Sequoia;Sequoia&competitor=Cadillac_EXT;compare=true;
Keyword Chevrolet Suburban;Sequoia;Sequoia&competitor=Chevrolet_Suburban;compare=true;
Keyword Chevrolet Tahoe;Sequoia;Sequoia&competitor=Chevrolet_Tahoe;compare=true;
Keyword Dodge Durango;Sequoia;Sequoia&competitor=Dodge_Durango;compare=true;
Keyword Ford Expedition;Sequoia;Sequoia&competitor=Ford_Expedition;compare=true;
Keyword GMC Yukon;Sequoia;Sequoia&competitor=GMC_Yukon;compare=true;
Keyword Nissan Armada;Sequoia;Sequoia&competitor=Nissan_Armada;compare=true;
NE ATC Chevrolet Suburban;Sequoia;sequoia&competitor=Chevrolet_Suburban;compare=true;
NE ATC Chevrolet Tahoe;Sequoia;sequoia&competitor=Chevrolet_Tahoe;compare=true;
NE ATC Ford Expedition/EL;Sequoia;sequoia&competitor=Ford_Expedition/EL;compare=true;
NE KBB Chevrolet Suburban;Sequoia;sequoia&competitor=Chevrolet_Suburban;compare=true;
NE KBB Chevrolet Tahoe;Sequoia;sequoia&competitor=Chevrolet_Tahoe;compare=true;
NE KBB Ford Expedition/EL;Sequoia;sequoia&competitor=Ford_Expedition/EL;compare=true;
NE Cars.com Chevrolet Suburban;Sequoia;sequoia&competitor=Chevrolet_Suburban;compare=true;
NE Cars.com Chevrolet Tahoe;Sequoia;sequoia&competitor=Chevrolet_Tahoe;compare=true;
NE Cars.com Ford Expedition;Sequoia;sequoia&competitor=Ford_Expedition;compare=true;
NE Cars.com Ford Expedition/EL;Sequoia;sequoia&competitor=Ford_Expedition/EL;compare=true;
NE Edmunds Chevrolet Suburban;Sequoia;sequoia&competitor=Chevrolet_Suburban;compare=true;
NE Edmunds Chevrolet Tahoe;Sequoia;sequoia&competitor=Chevrolet_Tahoe;compare=true;
NE Edmunds Chevrolet Tahoe Hybrid;Sequoia;sequoia&competitor=Chevrolet_Tahoe_Hybrid;compare=true;
NE Edmunds Ford Expedition;Sequoia;sequoia&competitor=Ford_Expedition;compare=true;
Keyword Chrysler Town&Country;Sienna;Sienna&competitor=Chrysler_Town&Country;compare=true;
Keyword Dodge Grand Caravan;Sienna;Sienna&competitor=Dodge_Grand_Caravan;compare=true;
Keyword Ford Flex;Sienna;Sienna&competitor=Ford_Flex;compare=false;
Keyword Honda Odyssey;Sienna;Sienna&competitor=Honda_Odyssey;compare=false;
Keyword Kia Sedona;Sienna;Sienna&competitor=Kia_Sedona;compare=true;
Keyword Mazda 5;Sienna;Sienna&competitor=Mazda_5;compare=false;
Keyword Nissan Quest;Sienna;Sienna&competitor=Nissan_Quest;compare=true;
Keyword Nissan NV;Sienna;Sienna&competitor=Nissan_NV;compare=true;
Keyword Volkswagen Routan;Sienna;Sienna&competitor=Volkswagen_Routan;compare=true;
NE ATC Chevrolet City Express;Sienna;sienna&competitor=Chevrolet_City_Express;compare=Id_is_invalid;
NE ATC Honda Odyssey;Sienna;sienna&competitor=Honda_Odyssey;compare=false;
NE ATC Kia Sedona;Sienna;sienna&competitor=Kia_Sedona;compare=true;
NE ATC Nissan Quest;Sienna;sienna&competitor=Nissan_Quest;compare=true;
NE KBB Chevrolet City Express;Sienna;sienna&competitor=Chevrolet_City_Express;compare=Id_is_invalid;
NE KBB Chevrolet Express 2500;Sienna;sienna&competitor=Chevrolet_Express_2500;compare=true;
NE KBB Chevrolet Express 3500;Sienna;sienna&competitor=Chevrolet_Express_3500;compare=true;
NE KBB Ford Transit 150;Sienna;sienna&competitor=Ford_Transit_150;compare=true;
NE KBB Ford Transit 250;Sienna;sienna&competitor=Ford_Transit_250;compare=true;
NE KBB Ford Transit Connect;Sienna;sienna&competitor=Ford_Transit_Connect;compare=true;
NE KBB Honda Odyssey;Sienna;sienna&competitor=Honda_Odyssey;compare=false;
NE KBB Kia Sedona;Sienna;sienna&competitor=Kia_Sedona;compare=true;
NE KBB Nissan NV200;Sienna;sienna&competitor=Nissan_NV200;compare=true;
NE KBB Nissan Quest;Sienna;sienna&competitor=Nissan_Quest;compare=true;
NE Cars.com Honda Odyssey;Sienna;sienna&competitor=Honda_Odyssey;compare=false;
NE Cars.com Kia Sedona;Sienna;sienna&competitor=Kia_Sedona;compare=true;
NE Cars.com Nissan Quest;Sienna;sienna&competitor=Nissan_Quest;compare=true;
NE Edmunds Chevrolet City Express;Sienna;sienna&competitor=Chevrolet_City_Express;compare=Id_is_invalid;
NE Edmunds Chevrolet Express;Sienna;sienna&competitor=Chevrolet_Express;compare=Id_is_invalid;
NE Edmunds Chevrolet Express Cargo;Sienna;sienna&competitor=Chevrolet_Express_Cargo;compare=true;
NE Edmunds Ford Transit Connect;Sienna;sienna&competitor=Ford_Transit_Connect;compare=true;
NE Edmunds Ford Transit Van;Sienna;sienna&competitor=Ford_Transit_Van;compare=true;
NE Edmunds Ford Transit Wagon;Sienna;sienna&competitor=Ford_Transit_Wagon;compare=true;
NE Edmunds Honda Odyssey;Sienna;sienna&competitor=Honda_Odyssey;compare=false;
NE Edmunds Kia Sedona;Sienna;sienna&competitor=Kia_Sedona;compare=true;
NE Edmunds Nissan NV;Sienna;sienna&competitor=Nissan_NV;compare=true;
NE Edmunds Nissan NV 200;Sienna;sienna&competitor=Nissan_NV_200;compare=true;
NE Edmunds Nissan NV Cargo;Sienna;sienna&competitor=Nissan_NV_Cargo;compare=false;
NE Edmunds Nissan NV Passenger;Sienna;sienna&competitor=Nissan_NV_Passenger;compare=false;
NE Edmunds Nissan Quest;Sienna;sienna&competitor=Nissan_Quest;compare=true;
Keyword Chevrolet Colorado;Tacoma;Tacoma&competitor=Chevrolet_Colorado;compare=false;
Keyword Ford Ranger;Tacoma;Tacoma&competitor=Ford_Ranger;compare=false;
Keyword Honda Ridgeline;Tacoma;Tacoma&competitor=Honda_Ridgeline;compare=false;
Keyword Nissan Frontier;Tacoma;Tacoma&competitor=Nissan_Frontier;compare=false;
Keyword Dodge Dakota;Tacoma;Tacoma&competitor=Dodge_Dakota;compare=false;
NE ATC Chevrolet Colorado;Tacoma;tacoma&competitor=Chevrolet_Colorado;compare=false;
NE ATC Nissan Frontier;Tacoma;tacoma&competitor=Nissan_Frontier;compare=false;
NE KBB Chevrolet Colorado;Tacoma;tacoma&competitor=Chevrolet_Colorado;compare=false;
NE KBB Nissan Frontier;Tacoma;tacoma&competitor=Nissan_Frontier;compare=false;
NE Cars.com Chevy Colorado;Tacoma;tacoma&competitor=Chevrolet_Colorado;compare=false;
NE Cars.com Honda Ridgeline;Tacoma;tacoma&competitor=Honda_Ridgeline;compare=false;
NE Cars.com Nissan Frontier;Tacoma;tacoma&competitor=Nissan_Frontier;compare=false;
NE Edmunds Chevrolet Colorado;Tacoma;tacoma&competitor=Chevrolet_Colorado;compare=false;
NE Edmunds Honda Ridgeline;Tacoma;tacoma&competitor=Honda_Ridgeline;compare=false;
NE Edmunds Nissan Frontier;Tacoma;tacoma&competitor=Nissan_Frontier;compare=false;
Keyword Chevrolet Avalanche;Tundra;Tundra&competitor=Chevrolet_Avalanche;compare=Id_is_invalid;
Keyword Chevrolet G15EXP;Tundra;Tundra&competitor=Chevrolet_G15EXP;compare=Id_is_invalid;
Keyword Chevrolet 150;Tundra;Tundra&competitor=Chevrolet_150;compare=false;
Keyword Chevrolet C25;Tundra;Tundra&competitor=Chevrolet_C25;compare=Id_is_invalid;
Keyword Chevrolet CH3500 PU;Tundra;Tundra&competitor=Chevrolet_CH3500_PU;compare=Id_is_invalid;
Keyword Ford F150PICKUP;Tundra;Tundra&competitor=Ford_F150PICKUP;compare=false;
Keyword Ford F250;Tundra;Tundra&competitor=Ford_F250;compare=false;
Keyword Ford F350;Tundra;Tundra&competitor=Ford_F350;compare=false;
Keyword Ford F450;Tundra;Tundra&competitor=Ford_F450;compare=false;
Keyword GMC Savana;Tundra;Tundra&competitor=GMC_Savana;compare=false;
Keyword GMC C25PU;Tundra;Tundra&competitor=GMC_C25PU;compare=false;
Keyword GMC 3500PU;Tundra;Tundra&competitor=GMC_3500PU;compare=false;
Keyword Mercedes-Benz Sprinter;Tundra;Tundra&competitor=Mercedes_Benz_Sprinter;compare=false;
Keyword Nissan Titan;Tundra;Tundra&competitor=Nissan_Titan;compare=false;
Keyword Chevrolet Tahoe Hybrid;Tundra;Tundra&competitor=Chevrolet_Tahoe_Hybrid;compare=false;
Keyword Chevrolet Silverado 3500;Tundra;Tundra&competitor=Chevrolet_Silverado_3500;compare=false;
Keyword Chevrolet Silverado 2500;Tundra;Tundra&competitor=Chevrolet_Silverado_2500;compare=false;
Keyword Chevrolet Silverado 1500 Hybrid;Tundra;Tundra&competitor=Chevrolet_Silverado_1500_Hybrid;compare=false;
Keyword Chevrolet Silverado 1500;Tundra;Tundra&competitor=Chevrolet_Silverado_1500;compare=false;
Keyword GMC Sierra 3500;Tundra;Tundra&competitor=GMC_Sierra_3500;compare=false;
Keyword GMC Sierra 2500;Tundra;Tundra&competitor=GMC_Sierra_2500;compare=false;
Keyword GMC Sierra 1500 Hybrid;Tundra;Tundra&competitor=GMC_Sierra_1500_Hybrid;compare=false;
Keyword Sierra 1500;Tundra;Tundra&competitor=GMC_Sierra_1500;compare=false;
Keyword Savana 3500;Tundra;Tundra&competitor=GMC_Savana_3500;compare=false;
Keyword Savana 2500;Tundra;Tundra&competitor=GMC_Savana_2500;compare=false;
Keyword Savana 1500;Tundra;Tundra&competitor=GMC_Savana_1500;compare=false;
Keyword GMC Express;Tundra;Tundra&competitor=GMC_Express_;compare=false;
Keyword Ford E150;Tundra;Tundra&competitor=Ford_E150;compare=false;
Keyword Ford E250;Tundra;Tundra&competitor=Ford_E250;compare=false;
Keyword Ford E350;Tundra;Tundra&competitor=Ford_E350;compare=false;
Keyword Ford E450;Tundra;Tundra&competitor=Ford_E450;compare=false;
Keyword Ford Expedition EL;Tundra;Tundra&competitor=Ford_Expedition_EL;compare=false;
Keyword Ford F550;Tundra;Tundra&competitor=Ford_F550;compare=false;
Keyword Ford Transit Connect;Tundra;Tundra&competitor=Ford_Transit_Connect;compare=false;
Keyword GMC Canyon;Tundra;Tundra&competitor=GMC_Canyon;compare=false;
Keyword GMC Savana Commercial Cutaway;Tundra;Tundra&competitor=GMC_Savana_Commercial_Cutaway;compare=false;
Keyword GMC Yukon XL;Tundra;Tundra&competitor=GMC_Yukon_XL;compare=false;
Keyword Ram 1500;Tundra;Tundra&competitor=Ram_1500;compare=false;
Keyword Ram_2500;Tundra;Tundra&competitor=Ram_2500;compare=false;
Keyword Ram_3500;Tundra;Tundra&competitor=Ram_3500;compare=false;
NE ATC Chevrolet Silverado and other C/K1500;Tundra;tundra&competitor=Chevrolet_Silverado_and_other_C/K1500;compare=false;
NE ATC Chevrolet Silverado and other C/K2500;Tundra;tundra&competitor=Chevrolet_Silverado_and_other_C/K2500;compare=false;
NE ATC Chevrolet Silverado and other C/K3500;Tundra;tundra&competitor=Chevrolet_Silverado_and_other_C/K3500;compare=false;
NE ATC Ford F150;Tundra;tundra&competitor=Ford_F150;compare=false;
NE ATC Ford F250;Tundra;tundra&competitor=Ford_F250;compare=false;
NE ATC Ford F350;Tundra;tundra&competitor=Ford_F350;compare=false;
NE ATC Ford F450;Tundra;tundra&competitor=Ford_F450;compare=false;
NE ATC Nissan Titan;Tundra;tundra&competitor=Nissan_Titan;compare=false;
NE KBB Chevrolet Silverado and other C/K1500;Tundra;tundra&competitor=Chevrolet_Silverado_and_other_C/K1500;compare=false;
NE KBB Chevrolet Silverado and other C/K3500;Tundra;tundra&competitor=Chevrolet_Silverado_and_other_C/K3500;compare=false;
NE KBB Ford F150;Tundra;tundra&competitor=Ford_F150;compare=false;
NE KBB Ford F250;Tundra;tundra&competitor=Ford_F250;compare=false;
NE KBB Ford F350;Tundra;tundra&competitor=Ford_F350;compare=false;
NE KBB Ford F450;Tundra;tundra&competitor=Ford_F450;compare=false;
NE KBB Nissan Titan;Tundra;tundra&competitor=Nissan_Titan;compare=false;
NE Cars.com Chevrolet Silverado 1500;Tundra;tundra&competitor=Chevrolet_Silverado_1500;compare=false;
NE Cars.com Chevrolet Silverado 2500 HD;Tundra;tundra&competitor=Chevrolet_Silverado_2500_HD;compare=false;
NE Cars.com Chevrolet Silverado 3500 HD;Tundra;tundra&competitor=Chevrolet_Silverado_3500_HD;compare=false;
NE Cars.com Ford F150;Tundra;tundra&competitor=Ford_F150;compare=false;
NE Cars.com Ford F250;Tundra;tundra&competitor=Ford_F250;compare=false;
NE Cars.com Ford F350;Tundra;tundra&competitor=Ford_F350;compare=false;
NE Cars.com Ford F450;Tundra;tundra&competitor=Ford_F450;compare=false;
NE Cars.com Nissan Titan;Tundra;tundra&competitor=Nissan_Titan;compare=false;
NE Edmunds Chevrolet Avalanche;Tundra;tundra&competitor=Chevrolet_Avalanche;compare=Id_is_invalid;
NE Edmunds Chevrolet Black Diamond Avalanche;Tundra;tundra&competitor=Chevrolet_Black_Diamond_Avalanche;compare=Id_is_invalid;
NE Edmunds Chevrolet Silverado 1500;Tundra;tundra&competitor=Chevrolet_Silverado_1500;compare=false;
NE Edmunds Chevrolet Silverado 1500 Hybrid;Tundra;tundra&competitor=Chevrolet_Silverado_1500_Hybrid;compare=false;
NE Edmunds Chevrolet Silverado 2500 HD;Tundra;tundra&competitor=Chevrolet_Silverado_2500_HD;compare=false;
NE Edmunds Chevrolet Silverado 3500 HD;Tundra;tundra&competitor=Chevrolet_Silverado_3500_HD;compare=false;
NE Edmunds Nissan Titan;Tundra;tundra&competitor=Nissan_Titan;compare=false;
Keyword Cadillac CTS Wagon;RAV4;RAV4&competitor=Cadillac_CTS_Wagon;compare=false;
Keyword Lexus NX200t;RAV4;RAV4&competitor=Lexus_NX200t;compare=true;
Keyword Audi Allroad;RAV4;RAV4&competitor=Audi_Allroad;compare=true;
Keyword Dodge Caliber;RAV4;RAV4&competitor=Dodge_Caliber;compare=false;
Keyword Ford Edge;RAV4;RAV4&competitor=Ford_Edge;compare=false;
Keyword Honda Crosstour;RAV4;RAV4&competitor=Honda_Crosstour;compare=false;
Keyword Mazda CX-7;RAV4;RAV4&competitor=Mazda_CX_7;compare=false;
Keyword Mazda CX-9;RAV4;RAV4&competitor=Mazda_CX_9;compare=false;
Keyword Nissan Murano;RAV4;RAV4&competitor=Nissan_Murano;compare=false;
Keyword Subaru Outback;RAV4;RAV4&competitor=Subaru_Outback;compare=false;
Keyword Volvo XC60;RAV4;RAV4&competitor=Volvo_XC60;compare=false;
NE ATC Chevrolet Sonic;Yaris;yaris&competitor=Chevrolet_Sonic;compare=true;
NE ATC Chevrolet Spark;Yaris;yaris&competitor=Chevrolet_Spark;compare=true;
NE ATC Ford Fiesta;Yaris;yaris&competitor=Ford_Fiesta;compare=true;
NE ATC Honda Fit;Yaris;yaris&competitor=Honda_Fit;compare=false;
NE ATC Hyundai Accent;Yaris;yaris&competitor=Hyundai_Accent;compare=true;
NE ATC Hyundai Veloster;Yaris;yaris&competitor=Hyundai_Veloster;compare=true;
NE ATC Nissan Versa/Note;Yaris;yaris&competitor=Nissan_Versa/Note;compare=true;
NE KBB Chevrolet Sonic;Yaris;yaris&competitor=Chevrolet_Sonic;compare=true;
NE KBB Chevrolet Spark;Yaris;yaris&competitor=Chevrolet_Spark;compare=true;
NE KBB Ford Fiesta;Yaris;yaris&competitor=Ford_Fiesta;compare=true;
NE KBB Honda Fit;Yaris;yaris&competitor=Honda_Fit;compare=false;
NE KBB Hyundai Accent;Yaris;yaris&competitor=Hyundai_Accent;compare=true;
NE KBB Hyundai Veloster;Yaris;yaris&competitor=Hyundai_Veloster;compare=true;
NE KBB Nissan Versa/Note;Yaris;yaris&competitor=Nissan_Versa/Note;compare=true;
NE Cars.com Chevrolet Sonic;Yaris;yaris&competitor=Chevrolet_Sonic;compare=true;
NE Cars.com Chevrolet Spark;Yaris;yaris&competitor=Chevrolet_Spark;compare=true;
NE Cars.com Chevrolet Spark EV;Yaris;yaris&competitor=Chevrolet_Spark_EV;compare=false;
NE Cars.com Ford Fiesta;Yaris;yaris&competitor=Ford_Fiesta;compare=true;
NE Cars.com Honda Fit;Yaris;yaris&competitor=Honda_Fit;compare=false;
NE Cars.com Honda Fit EV;Yaris;yaris&competitor=Honda_Fit_EV;compare=false;
NE Cars.com Hyundai Accent;Yaris;yaris&competitor=Hyundai_Accent;compare=true;
NE Cars.com Nissan Versa;Yaris;yaris&competitor=Nissan_Versa;compare=true;
NE Cars.com Nissan Versa Note;Yaris;yaris&competitor=Nissan_Versa_Note;compare=true;
NE Edmunds Chevrolet Sonic;Yaris;yaris&competitor=Chevrolet_Sonic;compare=true;
NE Edmunds Chevrolet Spark;Yaris;yaris&competitor=Chevrolet_Spark;compare=true;
NE Edmunds Chevrolet Spark EV;Yaris;yaris&competitor=Chevrolet_Spark_EV;compare=false;
NE Edmunds Ford Fiesta;Yaris;yaris&competitor=Ford_Fiesta;compare=true;
NE Edmunds Honda Fit;Yaris;yaris&competitor=Honda_Fit;compare=false;
NE Edmunds Honda Fit EV;Yaris;yaris&competitor=Honda_Fit_EV;compare=false;
NE Edmunds Honda Insight;Yaris;yaris&competitor=Honda_Insight;compare=false;
NE Edmunds Hyundai Accent;Yaris;yaris&competitor=Hyundai_Accent;compare=true;
NE Edmunds Hyundai Veloster;Yaris;yaris&competitor=Hyundai_Veloster;compare=true;
NE Edmunds Nissan Versa;Yaris;yaris&competitor=Nissan_Versa;compare=true;
NE Edmunds Nissan Versa Note;Yaris;yaris&competitor=Nissan_Versa_Note;compare=true;
